cloud_account_group_uuid,cloud_account_group_id,cloud_account_group_name,cloud_account_uuid
dba5e526-d56b-43b1-9bea-4dc7cfcf565a,d488f438-d0b1-7008-e465-fc299e2e0eb0,TeamWrite-stackref-team-001,ca77220c-4078-c51f-6b35-e25c25f68358
36a0d566-3cde-4966-bef9-8bc01f8ffb99,341804a8-7071-7063-1732-e8576fee55d1,TeamWrite-stackref-team-003,b9436300-f1cc-be5e-f76e-8b2926ba05fb
9716183a-a713-4ca2-a4ba-2123073e5a55,441884c8-b0a1-703b-f14d-006c87568912,TeamWrite-stackref-team-002,13563294-a66f-c9ee-4ce6-6e580242ccb9
